 ==================== ALOHA result file ====================
 \t\t S \t\t RZheg \t\t K_cpl 
 (-3.04773397330891303E-005,-5.23546291890309345E-006) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.49068872094138146E-005,-2.13828879373572603E-005)
 ( 2.01354611445831816E-005, 6.09242798959969434E-006) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.13995180653428455E-006,-3.33509549417262152E-006)
 (-7.79978525924166080E-005, 2.73269333571767392E-005) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.36317002897570599E-007, 2.46710669067808437E-007)
 (-2.65102492317914433E-004,-3.94574583380437349E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.42929960110183385E-005,-4.25239958371560817E-006)
 ( 1.55038659683119032E-004, 3.42779215858595408E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 5.32414924268280331E-007,-5.04023687649267754E-006)
 (-3.06005375405379317E-005,-6.48585615337236079E-005) (  0.0000000000000000     ,  0.0000000000000000     ) ( 4.84692177535572041E-007,-9.34141275612242076E-008)
 (-1.70898023859015433E-004, 4.45681232279677552E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.98410390453131815E-005, 1.06932866175590636E-005)
 ( 2.43407862647254338E-004, 1.77153214075008035E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-3.26267749537649207E-006,-3.77014502533165858E-006)
 ( 2.13886172489631673E-004, 4.27111382308180106E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-9.22323446857726285E-007, 5.43941864096439238E-008)
 (-0.22723214846306500     , 9.76129679105896542E-002) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.24393459784795271E-003,-4.51218720000040683E-003)
 ( 0.10389131990912499     , 7.31760136170495207E-002) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.16122084828202744E-003, 2.10442859398196462E-004)
 (-4.87682153148987219E-002,-1.99974411071603998E-002) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.22822833408546545E-004, 5.22658993314211709E-005)
 (-0.45409551232698575     , 6.05111501814320583E-003) (  21.493243746966318     ,  0.0000000000000000     ) ( 6.33806623393979880E-003,-4.69924738949337780E-003)
 (-6.63992799048399328E-005, 3.87973291555498024E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
 ( 9.82253670124352135E-002, 5.74292278749356233E-002) (  0.0000000000000000     ,  0.0000000000000000     ) (-5.59003364713579623E-004,-1.53551209617553940E-005)
 (-0.22755459289340485     , 6.31446871454930392E-002) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.24393459784795271E-003,-4.51218720000040683E-003)
 (-0.11632644145832745     ,-5.65353884093941772E-002) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.16122084828202679E-003,-2.10442859394478353E-004)
 (-4.25929183420653973E-002,-2.48081705119180748E-002) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.22822833408544159E-004, 5.22658993314211438E-005)
 (-3.98401851972214130E-002, 5.41820329409747198E-002) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.87868301351153165E-003,-2.92248560209451861E-003)
 (-2.52210165962242633E-002, 1.12515884527286854E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 4.92350539872850432E-004,-5.64627733015164138E-004)
 (-6.99847199912054328E-003,-2.64725652674748093E-005) (  0.0000000000000000     ,  0.0000000000000000     ) ( 6.05509821284473161E-005, 2.27912570401090282E-005)
 ( 9.94488749883562550E-004, 3.04251297964769178E-002) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.81400420671174857E-003,-5.42916653908610911E-004)
 (-8.81674433243331661E-003, 3.90384218491395506E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.46380847799396143E-007,-6.11356570975221279E-004)
 (-1.91280421804226647E-003, 7.40803513513372722E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 5.07995485570194896E-005,-1.10564077968198386E-005)
